Time [s],Channel 1
5.309605333,1
5.309717208,0
5.309829500,1
5.309941375,0
5.310053667,1
5.310165542,0
5.310277833,1
5.310389708,0
5.310502000,1
5.310613875,0
5.310726208,1
5.310838042,0
5.310950333,1
5.311062208,0
5.311174542,1
5.311286375,0
5.311398708,1
5.311510542,0
5.311622875,1
5.311734750,0
5.311847042,1
5.311958917,0
5.312071208,1
5.312183083,0
5.312295375,1
5.312407250,0
5.312519542,1
5.312631417,0
5.312743750,1
5.312855583,0
5.312967917,1
5.313079792,0
5.313192083,1
5.313303917,0
5.313416250,1
5.313530167,0
5.313644583,1
5.313758500,0
5.313872917,1
5.313986833,0
5.314101208,1
5.314215167,0
5.314329542,1
5.314443500,0
5.314557875,1
5.314671833,0
5.314786208,1
5.314900125,0
5.315014542,1
5.315128458,0
5.315242875,1
5.315356792,0
5.315471208,1
5.315585125,0
5.315699542,1
5.315813458,0
5.315927875,1
5.316041792,0
5.316156208,1
5.316270167,0
5.316384542,1
5.316498500,0
5.316612875,1
5.316726833,0
5.316841208,1
5.316955167,0
5.317069583,1
5.317183500,0
5.317297917,1
5.317411833,0
5.317526250,1
5.317640167,0
5.317754583,1
5.317868542,0
5.317982917,1
5.318096833,0
5.318211250,1
5.318325167,0
5.318439583,1
5.318553500,0
5.318667917,1
5.318781875,0
5.318896250,1
5.319010208,0
5.319124583,1
5.319238542,0
5.319352917,1
5.319466833,0
5.319581250,1
5.319695167,0
5.319809583,1
5.319923500,0
5.320037917,1
5.320151875,0
5.320266250,1
5.320380167,0
5.320494583,1
5.320608500,0
5.320722917,1
5.320836833,0
5.320951250,1
5.321065167,0
5.321179583,1
5.321293500,0
5.321407917,1
5.321521833,0
5.321636250,1
5.321750167,0
5.321864583,1
5.321978500,0
5.322092917,1
5.322206833,0
5.322321250,1
5.322435167,0
5.322549583,1
5.322663500,0
5.322777917,1
5.322891833,0
5.323006250,1
5.323120167,0
5.323234583,1
5.323348500,0
5.323462917,1
5.323576833,0
5.323691250,1
5.323805167,0
5.323919583,1
5.324033500,0
5.324147875,1
5.324261833,0
5.324376208,1
5.324490167,0
5.324604583,1
5.324718500,0
5.324832875,1
5.324946833,0
5.325061250,1
5.325175167,0
5.325289583,1
5.325405583,0
5.325522042,1
5.325638042,0
5.325754542,1
5.325870542,0
5.325987000,1
5.326103042,0
5.326219500,1
5.326335542,0
5.326452000,1
5.326568000,0
5.326684500,1
5.326800500,0
5.326917000,1
5.327033000,0
5.327149458,1
5.327265458,0
5.327381917,1
5.327497917,0
5.327614417,1
5.327730417,0
5.327846875,1
5.327962875,0
5.328079333,1
5.328195375,0
5.328311833,1
5.328427833,0
5.328544292,1
5.328660292,0
5.328776792,1
5.328892792,0
5.329009292,1
5.329125292,0
5.329241750,1
5.329357792,0
5.329474250,1
5.329590250,0
5.329706750,1
5.329822750,0
5.329939208,1
5.330055250,0
5.330171708,1
5.330287750,0
5.330404208,1
5.330520208,0
5.330636708,1
5.330752708,0
5.330869167,1
5.330985167,0
5.331101667,1
5.331217667,0
5.331334167,1
5.331450167,0
5.331566625,1
5.331682667,0
5.331799125,1
5.331915167,0
5.332031625,1
5.332147667,0
5.332264125,1
5.332380125,0
5.332496625,1
5.332612625,0
5.332729125,1
5.332845125,0
5.332961583,1
5.333077625,0
5.333194083,1
5.333310083,0
5.333426583,1
5.333542583,0
5.333659042,1
5.333775042,0
5.333891542,1
5.334007542,0
5.334124000,1
5.334240000,0
5.334356500,1
5.334472500,0
5.334588958,1
5.334704958,0
5.334821458,1
